SK_ID_CURR,TARGET,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,TERM_MONTHS,INTEREST_RATE,DAYS_BIRTH,DAYS_EMPLOYED,EMPLOYMENT_STATUS,NAME_CONTRACT_TYPE,HOME_OWNERSHIP,LOAN_PURPOSE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BUREAU_MONTHS_SINCE_LAST_DELINQUENCY,HAS_BUREAU_FILE,BUREAU_ACTIVE_LOANS,BUREAU_CLOSED_LOANS,BUREAU_TOTAL_DEBT,BUREAU_TOTAL_CREDIT_LIMIT,BUREAU_UTILIZATION,BUREAU_DPD_30_COUNT,BUREAU_DPD_60_COUNT,BUREAU_DPD_90_COUNT,BUREAU_INQUIRIES_6M,APPLICANT_SCENARIO
100000,0,52685.0,56196.0,2665.0,24,0.1275,-15140,-8520,Salaried,Cash loan,Rent,home_improvement,0.8752,0.8025,0.6696,,1,3.0,3.0,85377.0,135439.0,1.2132000638409328,0.0,0.0,0.0,0.0,high_bureau_utilization
100001,0,60955.0,87957.0,4403.0,24,0.1827,-15769,-8190,Salaried,Cash loan,Own,education,0.7377,0.6718,0.6721,,0,,,,,,,,,,low_income_high_annuity_burden
100002,0,95421.0,67412.0,1892.0,48,0.1545,-18328,-10710,Salaried,Cash loan,Family,other,0.6829,0.7936,0.5674,,1,1.0,1.0,6978.0,99116.0,0.07040235683441624,0.0,0.0,0.0,4.0,multiple_recent_inquiries
100003,0,81024.0,532505.0,18336.0,36,0.1452,-15276,-5700,Salaried,Cash loan,Mortgage,home_improvement,0.5138,0.6206,0.4412,,1,1.0,1.0,43135.0,109086.0,0.39542196065489615,0.0,0.0,0.0,0.0,good_income_high_credit_amount
100004,0,207724.0,715972.0,20207.0,48,0.1577,-14571,-5850,Salaried,Cash loan,Own,vehicle,0.7777,0.7299,0.7504,,1,1.0,2.0,53529.0,78201.0,0.6845053132312886,0.0,0.0,0.0,1.0,good_income_high_credit_amount
100005,0,79101.0,79474.0,4150.0,24,0.227,-16751,-9360,Salaried,Cash loan,Mortgage,working_capital,0.4981,0.5537,0.5081,,1,4.0,4.0,473255.0,1378623.0,0.343280940474662,0.0,0.0,0.0,2.0,low_income_high_annuity_burden
100006,0,311990.0,3500000.0,33791.0,300,0.108,-10538,-330,Self-employed,Mortgage,Rent,home_improvement,0.7552,0.6157,0.6524,,1,0.0,3.0,0.0,86303.0,0.0,0.0,0.0,0.0,2.0,prime_stable_low_leverage
100007,0,234923.0,422534.0,8966.0,72,0.1514,-17799,-8940,Salaried,Cash loan,Rent,home_improvement,0.841,0.7713,0.9881,40.0,1,3.0,4.0,241116.0,519556.0,0.46408086904972706,0.0,2.0,0.0,6.0,multiple_recent_inquiries
100008,0,177052.0,314402.0,7790.0,72,0.2141,-16757,-7020,Contract,Credit card,Own,other,0.9262,0.9611,0.8854,,1,3.0,2.0,189198.0,614749.0,0.30776463239468466,0.0,0.0,0.0,4.0,multiple_recent_inquiries
100009,0,61614.0,78880.0,7125.0,12,0.1513,-8883,0,Unemployed,Cash loan,Mortgage,working_capital,0.243,0.1511,0.0594,,1,3.0,2.0,104293.0,195336.0,0.5339159192365974,0.0,0.0,0.0,1.0,young_short_employment
100010,1,254042.0,3335886.0,163251.0,24,0.1595,-17809,-11340,Salaried,Auto loan,Rent,debt_consolidation,0.6488,0.6314,0.6325,64.0,1,1.0,2.0,24958.0,74945.0,0.3330175462005471,2.0,0.0,0.0,1.0,good_income_high_credit_amount
100011,0,305588.0,1443602.0,30444.0,72,0.149,-7710,0,Self-employed,Auto loan,Family,debt_consolidation,0.568,0.6853,0.6572,,1,3.0,1.0,306452.0,624148.0,0.49099252100463353,0.0,0.0,0.0,1.0,good_income_high_credit_amount
100012,1,281045.0,2786966.0,72225.0,48,0.1114,-7840,-840,Salaried,Cash loan,Rent,debt_consolidation,0.5935,0.5238,0.4868,,1,3.0,0.0,201401.0,249772.0,0.8063393815159425,0.0,0.0,0.0,2.0,good_income_high_credit_amount
100013,0,54499.0,107313.0,5237.0,24,0.1566,-8663,-90,Contract,Cash loan,Rent,other,0.5106,0.6546,0.6011,,1,1.0,2.0,26347.0,294868.0,0.08935184557157778,0.0,0.0,0.0,2.0,young_short_employment
100014,0,147017.0,235251.0,5896.0,48,0.0938,-9363,-90,Salaried,Auto loan,Family,debt_consolidation,0.2313,0.2169,0.1983,70.0,1,0.0,6.0,0.0,19069.0,0.0,1.0,0.0,0.0,0.0,young_short_employment
100015,0,103259.0,207124.0,5610.0,48,0.1351,-11592,-2790,Self-employed,Cash loan,Own,debt_consolidation,0.5526,0.6322,0.4794,,1,0.0,2.0,0.0,13207.0,0.0,0.0,0.0,0.0,3.0,self_employed_income_volatility
100016,0,219367.0,239178.0,5971.0,60,0.1721,-15034,-8940,Contract,Cash loan,Rent,working_capital,,,,24.0,1,2.0,1.0,171878.0,354569.0,0.48475191006545976,0.0,2.0,0.0,0.0,missing_external_score
100017,0,95866.0,179399.0,6728.0,36,0.2067,-22268,-15240,Self-employed,Cash loan,Mortgage,vehicle,0.6003,0.5441,0.6486,,1,1.0,3.0,99950.0,360923.0,0.2769288740257617,0.0,0.0,0.0,6.0,multiple_recent_inquiries
100018,0,41015.0,42408.0,855.0,72,0.1318,-7866,-570,Unemployed,Cash loan,Own,home_improvement,0.6164,0.6569,0.6792,,1,7.0,2.0,214830.0,551888.0,0.9512719927882722,0.0,0.0,0.0,0.0,high_bureau_utilization
100019,0,94065.0,154279.0,3674.0,60,0.1505,-10323,-450,Pensioner,Cash loan,Rent,debt_consolidation,0.4316,0.4421,0.5229,47.0,1,3.0,7.0,162922.0,398564.0,0.40877249325077025,1.0,0.0,3.0,0.0,previous_default_history
100020,0,27932.0,62643.0,2216.0,36,0.1644,-15098,-5610,Salaried,Credit card,Family,working_capital,0.9601,0.9147,0.8923,,1,0.0,2.0,0.0,20169.0,0.0,0.0,0.0,0.0,3.0,prime_stable_low_leverage
100021,0,124713.0,354616.0,9540.0,60,0.2073,-17373,-8700,Salaried,Credit card,Own,vehicle,0.7912,0.8778,0.8133,,0,,,,,,,,,,prime_stable_low_leverage
100022,0,191325.0,242022.0,3932.0,72,0.053,-20307,-10590,Self-employed,Auto loan,Mortgage,home_improvement,0.8058,0.7554,0.733,,1,0.0,2.0,0.0,10000.0,0.0,0.0,0.0,0.0,1.0,self_employed_income_volatility
100023,0,,589461.0,52920.0,12,0.1398,-11264,-2760,Self-employed,Cash loan,Rent,debt_consolidation,0.615,0.5847,0.6708,25.0,1,4.0,4.0,298750.0,397484.0,0.7516025802296444,1.0,0.0,0.0,2.0,prime_stable_low_leverage
100024,0,231000.0,370650.0,17608.0,24,0.1292,-17560,-10230,Self-employed,Cash loan,Rent,debt_consolidation,0.8834,0.99,0.9287,11.0,1,2.0,1.0,171788.0,375223.0,0.457829077641829,1.0,0.0,0.0,2.0,prime_stable_low_leverage
100025,0,167562.0,270132.0,7674.0,48,0.1613,-10194,-180,Contract,Credit card,Family,education,0.4086,0.4706,0.4857,,1,1.0,1.0,17720.0,101829.0,0.17401722495556277,0.0,0.0,0.0,0.0,young_short_employment
100026,0,93821.0,418274.0,20525.0,24,0.1623,-10945,-300,Salaried,Credit card,Own,debt_consolidation,0.447,0.52,0.5657,,1,0.0,2.0,0.0,129495.0,0.0,0.0,0.0,0.0,0.0,young_short_employment
100027,0,73844.0,160907.0,3918.0,72,0.2068,-13641,-4950,Self-employed,Credit card,Family,working_capital,0.6279,0.5504,0.698,,1,2.0,3.0,91621.0,261519.0,0.3503416577762992,0.0,0.0,0.0,1.0,low_income_high_annuity_burden
100028,0,96047.0,138644.0,12803.0,12,0.194,-13265,-5580,Salaried,Cash loan,Own,education,0.7327,0.8257,,,1,6.0,2.0,466306.0,1354810.0,0.8729912776057921,0.0,0.0,0.0,1.0,high_bureau_utilization
