TARGET,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,TERM_MONTHS,INTEREST_RATE,EMPLOYMENT_STATUS,NAME_CONTRACT_TYPE,HOME_OWNERSHIP,LOAN_PURPOSE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,HAS_BUREAU_FILE,BUREAU_ACTIVE_LOANS,BUREAU_CLOSED_LOANS,BUREAU_TOTAL_DEBT,BUREAU_TOTAL_CREDIT_LIMIT,BUREAU_UTILIZATION,BUREAU_DPD_30_COUNT,BUREAU_DPD_60_COUNT,BUREAU_DPD_90_COUNT,BUREAU_INQUIRIES_6M,AGE_YEARS,EMPLOY_YEARS,CREDIT_TO_INCOME,ANNUITY_TO_INCOME,DEBT_TO_INCOME,MONTHS_SINCE_DELINQ_BINNED
0,52685.0,56196.0,2665.0,24,0.1275,Salaried,Cash loan,Rent,home_improvement,0.8752,0.8025,0.6696,1,3.0,3.0,85377.0,135439.0,1.2132000638409328,0.0,0.0,0.0,0.0,41.451060917180016,23.326488706365502,1.066641359020594,0.05058365758754864,1.6205181740533359,never_delinquent
0,60955.0,87957.0,4403.0,24,0.1827,Salaried,Cash loan,Own,education,0.7377,0.6718,0.6721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.17316906228611,22.42299794661191,1.442982528094496,0.07223361496185711,0.0,never_delinquent
0,95421.0,67412.0,1892.0,48,0.1545,Salaried,Cash loan,Family,other,0.6829,0.7936,0.5674,1,1.0,1.0,6978.0,99116.0,0.0704023568344162,0.0,0.0,0.0,4.0,50.17932922655715,29.322381930184804,0.7064692258517518,0.019827920478720618,0.07312855660703618,never_delinquent
0,81024.0,532505.0,18336.0,36,0.1452,Salaried,Cash loan,Mortgage,home_improvement,0.5138,0.6206,0.4412,1,1.0,1.0,43135.0,109086.0,0.3954219606548961,0.0,0.0,0.0,0.0,41.82340862422998,15.605749486652977,6.572188487361769,0.22630331753554503,0.5323731240126383,never_delinquent
0,207724.0,715972.0,20207.0,48,0.1577,Salaried,Cash loan,Own,vehicle,0.7777,0.7299,0.7504,1,1.0,2.0,53529.0,78201.0,0.6845053132312886,0.0,0.0,0.0,1.0,39.893223819301845,16.016427104722794,3.4467466445860855,0.09727811904257573,0.2576929001944888,never_delinquent
0,79101.0,79474.0,4150.0,24,0.227,Salaried,Cash loan,Mortgage,working_capital,0.4981,0.5537,0.5081,1,4.0,4.0,473255.0,1378623.0,0.343280940474662,0.0,0.0,0.0,2.0,45.86173853524983,25.626283367556468,1.004715490322499,0.05246457061225522,5.9829205699043,never_delinquent
0,311990.0,3500000.0,33791.0,300,0.108,Self-employed,Mortgage,Rent,home_improvement,0.7552,0.6157,0.6524,1,0.0,3.0,0.0,86303.0,0.0,0.0,0.0,0.0,2.0,28.851471594798085,0.9034907597535934,11.21830827911151,0.1083079585884163,0.0,never_delinquent
0,234923.0,422534.0,8966.0,72,0.1514,Salaried,Cash loan,Rent,home_improvement,0.841,0.7713,0.9881,1,3.0,4.0,241116.0,519556.0,0.464080869049727,0.0,2.0,0.0,6.0,48.73100616016427,24.476386036960985,1.7986063518684845,0.038165696845349324,1.026361829195098,older_25_60m
0,177052.0,314402.0,7790.0,72,0.2141,Contract,Credit card,Own,other,0.9262,0.9611,0.8854,1,3.0,2.0,189198.0,614749.0,0.3077646323946846,0.0,0.0,0.0,4.0,45.87816563997262,19.21971252566735,1.7757607934392157,0.04399837335923909,1.0686013148679483,never_delinquent
0,61614.0,78880.0,7125.0,12,0.1513,Unemployed,Cash loan,Mortgage,working_capital,0.243,0.1511,0.0594,1,3.0,2.0,104293.0,195336.0,0.5339159192365974,0.0,0.0,0.0,1.0,24.320328542094455,0.0,1.280228519492323,0.11563930275586717,1.6926834810270392,never_delinquent
1,254042.0,3335886.0,163251.0,24,0.1595,Salaried,Auto loan,Rent,debt_consolidation,0.6488,0.6314,0.6325,1,1.0,2.0,24958.0,74945.0,0.3330175462005471,2.0,0.0,0.0,1.0,48.75838466803559,31.04722792607803,13.131238141724596,0.6426142133977846,0.09824359751537147,distant_60m_plus
0,305588.0,1443602.0,30444.0,72,0.149,Self-employed,Auto loan,Family,debt_consolidation,0.568,0.6853,0.6572,1,3.0,1.0,306452.0,624148.0,0.4909925210046335,0.0,0.0,0.0,1.0,21.1088295687885,0.0,4.724014031964606,0.09962433079832977,1.002827336151943,never_delinquent
1,281045.0,2786966.0,72225.0,48,0.1114,Salaried,Cash loan,Rent,debt_consolidation,0.5935,0.5238,0.4868,1,3.0,0.0,201401.0,249772.0,0.8063393815159425,0.0,0.0,0.0,2.0,21.464750171115675,2.299794661190965,9.916440427689516,0.25698731519863366,0.7166147769930082,never_delinquent
0,54499.0,107313.0,5237.0,24,0.1566,Contract,Cash loan,Rent,other,0.5106,0.6546,0.6011,1,1.0,2.0,26347.0,294868.0,0.0893518455715777,0.0,0.0,0.0,2.0,23.718001368925393,0.2464065708418891,1.9690820015046147,0.09609350630286795,0.4834400631204242,never_delinquent
0,147017.0,235251.0,5896.0,48,0.0938,Salaried,Auto loan,Family,debt_consolidation,0.2313,0.2169,0.1983,1,0.0,6.0,0.0,19069.0,0.0,1.0,0.0,0.0,0.0,25.634496919917865,0.2464065708418891,1.60016188604039,0.0401042056360829,0.0,distant_60m_plus
0,103259.0,207124.0,5610.0,48,0.1351,Self-employed,Cash loan,Own,debt_consolidation,0.5526,0.6322,0.4794,1,0.0,2.0,0.0,13207.0,0.0,0.0,0.0,0.0,3.0,31.737166324435318,7.638603696098563,2.0058687378339903,0.0543294047008009,0.0,never_delinquent
0,219367.0,239178.0,5971.0,60,0.1721,Contract,Cash loan,Rent,working_capital,,,,1,2.0,1.0,171878.0,354569.0,0.4847519100654597,0.0,2.0,0.0,0.0,41.16084873374401,24.476386036960985,1.0903098460570642,0.027219226228192936,0.7835180314267871,moderate_13_24m
0,95866.0,179399.0,6728.0,36,0.2067,Self-employed,Cash loan,Mortgage,vehicle,0.6003,0.5441,0.6486,1,1.0,3.0,99950.0,360923.0,0.2769288740257617,0.0,0.0,0.0,6.0,60.96646132785763,41.724845995893226,1.8713516783844115,0.07018129472388543,1.0426011307449983,never_delinquent
0,41015.0,42408.0,855.0,72,0.1318,Unemployed,Cash loan,Own,home_improvement,0.6164,0.6569,0.6792,1,7.0,2.0,214830.0,551888.0,0.9512719927882722,0.0,0.0,0.0,0.0,21.53593429158111,1.5605749486652978,1.033963184200902,0.020846031939534316,5.237839814701938,never_delinquent
0,94065.0,154279.0,3674.0,60,0.1505,Pensioner,Cash loan,Rent,debt_consolidation,0.4316,0.4421,0.5229,1,3.0,7.0,162922.0,398564.0,0.4087724932507702,1.0,0.0,3.0,0.0,28.262833675564682,1.2320328542094456,1.640131823738904,0.03905809812363791,1.732015095944294,older_25_60m
0,27932.0,62643.0,2216.0,36,0.1644,Salaried,Credit card,Family,working_capital,0.9601,0.9147,0.8923,1,0.0,2.0,0.0,20169.0,0.0,0.0,0.0,0.0,3.0,41.33607118412046,15.359342915811089,2.2426965487612773,0.07933552914220249,0.0,never_delinquent
0,124713.0,354616.0,9540.0,60,0.2073,Salaried,Credit card,Own,vehicle,0.7912,0.8778,0.8133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.564681724846,23.81930184804928,2.843456576299183,0.07649563397560799,0.0,never_delinquent
0,191325.0,242022.0,3932.0,72,0.053,Self-employed,Auto loan,Mortgage,home_improvement,0.8058,0.7554,0.733,1,0.0,2.0,0.0,10000.0,0.0,0.0,0.0,0.0,1.0,55.59753593429158,28.993839835728952,1.2649784398275186,0.02055141774467529,0.0,never_delinquent
